Datetime(UTC),SLIM2,WASD2,KPTV2,CBBV2,LWTV2,BLTM2,APAM2,BISM2,SWPV2
2018-10-14 18:00:00,0.12,1.08,2.4,2.42,0.32,0.3,-0.06,0.31,2.33
2018-10-14 18:30:00,0.27,0.87,2.31,2.27,0.47,0.21,-0.12,0.59,2.3
2018-10-14 19:00:00,0.41,0.72,2.16,2.07,0.58,0.13,-0.15,0.82,2.21
2018-10-14 19:30:00,0.53,0.62,1.97,1.79,0.69,0.06,-0.14,1.02,2.05
2018-10-14 20:00:00,0.64,0.55,1.67,1.44,0.77,0.01,-0.09,1.18,1.87
2018-10-14 20:30:00,0.73,0.48,1.35,1.13,0.86,-0.01,-0.01,1.29,1.61
2018-10-14 21:00:00,0.81,0.43,1.04,0.82,0.93,0.01,0.1,1.38,1.32
2018-10-14 21:30:00,0.88,0.41,0.75,0.57,1.0,0.09,0.21,1.44,1.04
2018-10-14 22:00:00,0.94,0.46,0.52,0.38,1.04,0.2,0.32,1.49,0.77
2018-10-14 22:30:00,0.99,0.63,0.35,0.26,1.06,0.34,0.42,1.52,0.54
2018-10-14 23:00:00,1.02,0.95,0.26,0.2,1.04,0.48,0.53,1.52,0.37
2018-10-14 23:30:00,1.03,1.32,0.22,0.2,0.97,0.6,0.64,1.49,0.24
2018-10-15 00:00:00,1.0,1.63,0.22,0.24,0.86,0.74,0.75,1.39,0.19
2018-10-15 00:30:00,0.94,1.86,0.3,0.37,0.74,0.88,0.86,1.24,0.2
2018-10-15 01:00:00,0.84,2.01,0.4,0.5,0.61,1.02,0.95,1.05,0.26
2018-10-15 01:30:00,0.73,2.12,0.59,0.73,0.49,1.14,1.02,0.83,0.37
2018-10-15 02:00:00,0.61,2.21,0.8,0.93,0.39,1.25,1.07,0.64,0.55
2018-10-15 02:30:00,0.52,2.29,1.05,1.2,0.31,1.33,1.09,0.47,0.73
2018-10-15 03:00:00,0.45,2.38,1.29,1.42,0.25,1.4,1.08,0.35,0.97
2018-10-15 03:30:00,0.39,2.46,1.53,1.61,0.2,1.46,1.05,0.27,1.17
2018-10-15 04:00:00,0.35,2.51,1.69,1.77,0.17,1.48,1.0,0.24,1.37
2018-10-15 04:30:00,0.32,2.52,1.83,1.86,0.15,1.47,0.94,0.24,1.53
2018-10-15 05:00:00,0.32,2.46,1.93,1.94,0.18,1.42,0.87,0.26,1.67
2018-10-15 05:30:00,0.33,2.29,1.96,1.91,0.24,1.34,0.8,0.3,1.76
2018-10-15 06:00:00,0.38,2.02,1.93,1.85,0.34,1.24,0.73,0.42,1.8
2018-10-15 06:30:00,0.45,1.7,1.88,1.73,0.46,1.14,0.66,0.58,1.77
2018-10-15 07:00:00,0.56,1.41,1.76,1.59,0.58,1.05,0.6,0.77,1.71
2018-10-15 07:30:00,0.68,1.2,1.62,1.42,0.68,0.96,0.55,0.97,1.59
2018-10-15 08:00:00,0.78,1.05,1.44,1.22,0.77,0.88,0.52,1.16,1.46
2018-10-15 08:30:00,0.87,0.96,1.25,1.02,0.85,0.81,0.52,1.32,1.27
2018-10-15 09:00:00,0.95,0.91,1.05,0.81,0.91,0.76,0.54,1.45,1.08
2018-10-15 09:30:00,1.01,0.86,0.84,0.62,0.97,0.73,0.59,1.53,0.9
2018-10-15 10:00:00,1.05,0.82,0.68,0.48,1.01,0.74,0.65,1.59,0.7
2018-10-15 10:30:00,1.08,0.81,0.54,0.35,1.03,0.79,0.72,1.63,0.53
2018-10-15 11:00:00,1.1,0.85,0.45,0.28,1.04,0.86,0.8,1.64,0.38
2018-10-15 11:30:00,1.1,0.99,0.4,0.26,1.0,0.94,0.86,1.62,0.26
2018-10-15 12:00:00,1.08,1.24,0.41,0.29,0.93,1.03,0.93,1.58,0.19
2018-10-15 12:30:00,1.04,1.55,0.45,0.36,0.83,1.12,1.01,1.49,0.17
2018-10-15 13:00:00,0.98,1.85,0.55,0.53,0.72,1.22,1.08,1.36,0.21
2018-10-15 13:30:00,0.9,2.06,0.7,0.72,0.62,1.32,1.15,1.2,0.31
2018-10-15 14:00:00,0.8,2.23,0.93,0.99,0.53,1.42,1.2,1.04,0.49
2018-10-15 14:30:00,0.71,2.35,1.19,1.24,0.47,1.51,1.23,0.89,0.69
2018-10-15 15:00:00,0.63,2.43,1.46,1.51,0.4,1.58,1.24,0.76,0.95
2018-10-15 15:30:00,0.58,2.49,1.7,1.73,0.35,1.63,1.23,0.66,1.18
2018-10-15 16:00:00,0.53,2.53,1.91,1.96,0.31,1.66,1.19,0.6,1.41
2018-10-15 16:30:00,0.5,2.54,2.08,2.11,0.31,1.66,1.14,0.57,1.63
2018-10-15 17:00:00,0.48,2.5,2.21,2.22,0.34,1.64,1.09,0.56,1.81
2018-10-15 17:30:00,0.49,2.39,2.29,2.29,0.41,1.59,1.03,0.59,1.96
2018-10-15 18:00:00,0.53,2.2,2.34,2.3,0.52,1.52,0.98,0.67,2.06
2018-10-15 18:30:00,0.61,1.95,2.33,2.26,0.64,1.43,0.92,0.78,2.12
2018-10-15 19:00:00,0.71,1.69,2.28,2.17,0.77,1.34,0.86,0.94,2.11
2018-10-15 19:30:00,0.83,1.46,2.17,2.02,0.88,1.25,0.81,1.1,2.07
2018-10-15 20:00:00,0.94,1.3,2.03,1.82,0.98,1.17,0.77,1.28,1.97
2018-10-15 20:30:00,1.05,1.18,1.82,1.58,1.07,1.09,0.76,1.44,1.82
2018-10-15 21:00:00,1.14,1.09,1.59,1.33,1.16,1.03,0.77,1.58,1.63
2018-10-15 21:30:00,1.22,1.02,1.35,1.09,1.25,0.99,0.8,1.69,1.43
2018-10-15 22:00:00,1.28,0.98,1.11,0.86,1.32,0.98,0.86,1.76,1.21
2018-10-15 22:30:00,1.33,0.97,0.89,0.64,1.36,1.0,0.93,1.82,0.98
2018-10-15 23:00:00,1.37,1.03,0.69,0.45,1.39,1.04,1.0,1.87,0.76
2018-10-15 23:30:00,1.39,1.2,0.54,0.31,1.36,1.08,1.07,1.88,0.56
2018-10-16 00:00:00,1.4,1.49,0.44,0.21,1.31,1.14,1.14,1.87,0.39
2018-10-16 00:30:00,1.38,1.8,0.36,0.15,1.22,1.21,1.21,1.82,0.26
2018-10-16 01:00:00,1.34,2.06,0.33,0.14,1.1,1.28,1.28,1.72,0.18
2018-10-16 01:30:00,1.26,2.27,0.33,0.17,0.99,1.37,1.34,1.57,0.13
2018-10-16 02:00:00,1.16,2.4,0.37,0.27,0.88,1.45,1.4,1.39,0.13
2018-10-16 02:30:00,1.05,2.49,0.46,0.38,0.79,1.51,1.42,1.2,0.17
2018-10-16 03:00:00,0.95,2.56,0.58,0.55,0.7,1.55,1.42,1.04,0.25
2018-10-16 03:30:00,0.87,2.63,0.73,0.75,0.62,1.54,1.37,0.9,0.37
2018-10-16 04:00:00,0.8,2.7,0.9,0.92,0.57,1.52,1.29,0.78,0.53
2018-10-16 04:30:00,0.74,2.74,1.07,1.11,0.54,1.5,1.2,0.69,0.71
2018-10-16 05:00:00,0.68,2.73,1.24,1.22,0.5,1.44,1.1,0.61,0.89
2018-10-16 05:30:00,0.62,2.65,1.37,1.34,0.5,1.34,1.01,0.54,1.06
2018-10-16 06:00:00,0.58,2.47,1.48,1.4,0.5,1.2,0.9,0.48,1.19
2018-10-16 06:30:00,0.54,2.2,1.51,1.41,0.52,1.05,0.81,0.43,1.33
2018-10-16 07:00:00,0.5,1.88,1.47,1.38,0.54,0.92,0.69,0.39,1.39
2018-10-16 07:30:00,0.48,1.61,1.39,1.33,0.57,0.82,0.57,0.39,1.43
2018-10-16 08:00:00,0.47,1.4,1.31,1.27,0.59,0.71,0.45,0.4,1.4
2018-10-16 08:30:00,0.47,1.24,1.19,1.21,0.62,0.58,0.35,0.43,1.36
2018-10-16 09:00:00,0.48,1.14,1.04,1.15,0.65,0.44,0.24,0.48,1.33
2018-10-16 09:30:00,0.48,1.06,0.93,1.09,0.66,0.32,0.15,0.54,1.3
2018-10-16 10:00:00,0.47,1.0,0.85,0.94,0.65,0.22,0.08,0.58,1.27
2018-10-16 10:30:00,0.44,0.94,0.76,0.8,0.61,0.12,0.01,0.64,1.17
2018-10-16 11:00:00,0.41,0.88,0.62,0.63,0.56,0.03,-0.04,0.66,1.05
2018-10-16 11:30:00,0.36,0.84,0.5,0.47,0.51,-0.05,-0.09,0.64,0.92
2018-10-16 12:00:00,0.31,0.81,0.39,0.32,0.44,-0.12,-0.13,0.59,0.75
2018-10-16 12:30:00,0.25,0.82,0.29,0.24,0.38,-0.16,-0.16,0.52,0.6
2018-10-16 13:00:00,0.19,0.85,0.24,0.23,0.32,-0.18,-0.18,0.44,0.47
2018-10-16 13:30:00,0.13,0.93,0.23,0.29,0.25,-0.19,-0.21,0.35,0.39
2018-10-16 14:00:00,0.07,1.05,0.25,0.38,0.17,-0.2,-0.23,0.25,0.35
2018-10-16 14:30:00,0.01,1.2,0.34,0.56,0.09,-0.21,-0.25,0.16,0.38
2018-10-16 15:00:00,-0.07,1.34,0.5,0.79,0.0,-0.2,-0.27,0.08,0.44
2018-10-16 15:30:00,-0.14,1.44,0.73,1.04,-0.08,-0.2,-0.3,-0.01,0.6
2018-10-16 16:00:00,-0.22,1.48,0.96,1.22,-0.17,-0.19,-0.33,-0.09,0.8
2018-10-16 16:30:00,-0.29,1.44,1.16,1.38,-0.24,-0.2,-0.36,-0.16,0.99
2018-10-16 17:00:00,-0.35,1.35,1.34,1.47,-0.3,-0.21,-0.39,-0.22,1.17
2018-10-16 17:30:00,-0.41,1.24,1.48,1.59,-0.34,-0.22,-0.43,0.0,1.32
2018-10-16 18:00:00,-0.45,1.12,1.55,1.63,-0.36,-0.23,-0.46,0.0,1.44
2018-10-16 18:30:00,-0.47,1.01,1.59,1.63,-0.34,-0.25,-0.5,0.0,1.53
2018-10-16 19:00:00,-0.47,0.92,1.57,1.57,-0.28,-0.28,-0.53,0.0,1.56
2018-10-16 19:30:00,-0.42,0.84,1.54,1.52,-0.2,-0.31,-0.56,-0.16,1.52
2018-10-16 20:00:00,-0.33,0.76,1.46,1.45,-0.1,-0.34,-0.59,-0.01,1.48
2018-10-16 20:30:00,-0.23,0.68,1.39,1.34,-0.02,-0.37,-0.6,0.15,1.41
2018-10-16 21:00:00,-0.13,0.6,1.26,1.18,0.06,-0.39,-0.59,0.29,1.31
2018-10-16 21:30:00,-0.05,0.5,1.13,1.01,0.11,-0.4,-0.55,0.46,1.18
2018-10-16 22:00:00,0.03,0.4,0.95,0.82,0.15,-0.4,-0.49,0.57,1.03
2018-10-16 22:30:00,0.11,0.31,0.77,0.61,0.19,-0.37,-0.41,0.64,0.87
2018-10-16 23:00:00,0.18,0.24,0.54,0.38,0.22,-0.31,-0.32,0.69,0.69
2018-10-16 23:30:00,0.23,0.2,0.32,0.17,0.26,-0.22,-0.23,0.73,0.49
2018-10-17 00:00:00,0.27,0.2,0.12,-0.01,0.28,-0.11,-0.13,0.75,0.28
2018-10-17 00:30:00,0.3,0.27,-0.04,-0.12,0.3,-0.02,-0.03,0.76,0.1
2018-10-17 01:00:00,0.32,0.44,-0.15,-0.21,0.29,0.08,0.06,0.75,-0.06
2018-10-17 01:30:00,0.33,0.71,-0.21,-0.24,0.26,0.17,0.15,0.71,-0.18
2018-10-17 02:00:00,0.31,0.99,-0.22,-0.2,0.19,0.28,0.23,0.64,-0.26
2018-10-17 02:30:00,0.28,1.21,-0.16,-0.09,0.1,0.39,0.3,0.54,-0.27
2018-10-17 03:00:00,0.21,1.36,-0.06,0.04,-0.02,0.48,0.36,0.4,-0.23
2018-10-17 03:30:00,0.12,1.45,0.12,0.27,-0.12,0.56,0.41,0.23,-0.13
2018-10-17 04:00:00,0.02,1.5,0.32,0.44,-0.2,0.62,0.44,0.09,0.03
2018-10-17 04:30:00,-0.06,1.54,0.55,0.68,-0.27,0.69,0.45,-0.05,0.24
2018-10-17 05:00:00,-0.13,1.58,0.76,0.83,-0.33,0.76,0.44,-0.17,0.43
2018-10-17 05:30:00,-0.19,1.63,0.93,0.98,-0.38,0.8,0.41,0.0,0.63
2018-10-17 06:00:00,-0.24,1.68,1.07,1.08,-0.4,0.8,0.35,0.0,0.8
2018-10-17 06:30:00,-0.27,1.68,1.17,1.15,-0.41,0.76,0.29,0.0,0.93
2018-10-17 07:00:00,-0.29,1.64,1.23,1.22,-0.37,0.68,0.21,0.0,1.04
2018-10-17 07:30:00,-0.27,1.52,1.28,1.22,-0.3,0.58,0.13,0.0,1.1
2018-10-17 08:00:00,-0.23,1.3,1.27,1.2,-0.21,0.46,0.05,-0.16,1.15
2018-10-17 08:30:00,-0.16,1.04,1.24,1.13,-0.1,0.35,-0.03,-0.04,1.12
2018-10-17 09:00:00,-0.08,0.77,1.17,1.07,-0.01,0.23,-0.1,0.11,1.09
2018-10-17 09:30:00,0.01,0.56,1.1,0.97,0.07,0.11,-0.18,0.27,1.02
2018-10-17 10:00:00,0.09,0.41,0.97,0.83,0.14,-0.01,-0.23,0.42,0.93
2018-10-17 10:30:00,0.16,0.32,0.82,0.66,0.21,-0.11,-0.27,0.55,0.82
2018-10-17 11:00:00,0.22,0.26,0.66,0.5,0.27,-0.19,-0.28,0.65,0.66
2018-10-17 11:30:00,0.26,0.22,0.48,0.35,0.33,-0.26,-0.28,0.72,0.53
2018-10-17 12:00:00,0.29,0.2,0.35,0.23,0.38,-0.3,-0.27,0.76,0.39
2018-10-17 12:30:00,0.32,0.19,0.22,0.12,0.4,-0.32,-0.24,0.77,0.27
2018-10-17 13:00:00,0.32,0.24,0.11,0.02,0.4,-0.32,-0.21,0.77,0.15
2018-10-17 13:30:00,0.31,0.37,0.05,0.0,0.37,-0.31,-0.16,0.72,0.04
2018-10-17 14:00:00,0.28,0.6,0.02,-0.0,0.29,-0.28,-0.13,0.66,-0.03
2018-10-17 14:30:00,0.22,0.87,0.05,0.09,0.18,-0.23,-0.09,0.54,-0.04
2018-10-17 15:00:00,0.14,1.11,0.11,0.2,0.07,-0.17,-0.05,0.4,-0.04
2018-10-17 15:30:00,0.04,1.28,0.22,0.36,-0.04,-0.12,-0.02,0.25,0.06
2018-10-17 16:00:00,-0.06,1.41,0.42,0.59,-0.12,-0.07,-0.0,0.12,0.16
2018-10-17 16:30:00,-0.14,1.51,0.61,0.79,-0.2,-0.01,-0.0,-0.01,0.34
2018-10-17 17:00:00,-0.22,1.57,0.84,0.99,-0.27,0.06,-0.03,-0.11,0.55
2018-10-17 17:30:00,-0.29,1.62,1.04,1.14,-0.33,0.1,-0.06,-0.19,0.74
2018-10-17 18:00:00,-0.35,1.66,1.21,1.3,-0.38,0.11,-0.12,-0.23,0.93
2018-10-17 18:30:00,-0.4,1.66,1.35,1.38,-0.4,0.08,-0.18,0.0,1.08
2018-10-17 19:00:00,-0.43,1.61,1.43,1.46,-0.41,0.03,-0.26,0.0,1.22
2018-10-17 19:30:00,-0.44,1.47,1.48,1.46,-0.39,-0.04,-0.33,0.0,1.3
2018-10-17 20:00:00,-0.44,1.24,1.47,1.43,-0.33,-0.14,-0.4,0.0,1.35
2018-10-17 20:30:00,-0.41,0.96,1.44,1.38,-0.25,-0.24,-0.46,-0.21,1.35
2018-10-17 21:00:00,-0.35,0.7,1.36,1.27,-0.14,-0.34,-0.53,-0.11,1.3
2018-10-17 21:30:00,-0.26,0.49,1.24,1.15,-0.05,-0.44,-0.58,0.04,1.22
2018-10-17 22:00:00,-0.17,0.35,1.12,1.01,0.04,-0.53,-0.63,0.2,1.09
2018-10-17 22:30:00,-0.08,0.25,0.94,0.82,0.11,-0.62,-0.67,0.34,0.99
2018-10-17 23:00:00,-0.0,0.17,0.76,0.62,0.17,-0.69,-0.68,0.46,0.83
2018-10-17 23:30:00,0.04,0.1,0.53,0.39,0.21,-0.75,-0.67,0.55,0.67
2018-10-18 00:00:00,0.07,0.04,0.34,0.2,0.24,-0.8,-0.65,0.59,0.5
2018-10-18 00:30:00,0.08,-0.01,0.16,0.01,0.26,-0.82,-0.62,0.59,0.33
2018-10-18 01:00:00,0.07,-0.04,0.01,-0.13,0.24,-0.81,-0.58,0.57,0.17
2018-10-18 01:30:00,0.04,-0.01,-0.1,-0.24,0.2,-0.78,-0.54,0.52,0.03
2018-10-18 02:00:00,0.0,0.09,-0.18,-0.3,0.12,-0.73,-0.51,0.45,-0.08
2018-10-18 02:30:00,-0.06,0.29,-0.24,-0.33,0.01,-0.67,-0.48,0.34,-0.16
2018-10-18 03:00:00,-0.14,0.56,-0.28,-0.32,-0.12,-0.61,-0.45,0.2,-0.2
2018-10-18 03:30:00,-0.25,0.81,-0.28,-0.24,-0.25,-0.56,-0.43,0.03,-0.23
2018-10-18 04:00:00,-0.36,1.02,-0.25,-0.16,-0.36,-0.51,-0.41,-0.14,-0.21
2018-10-18 04:30:00,-0.46,1.16,-0.16,0.02,-0.46,-0.47,-0.41,-0.3,-0.16
2018-10-18 05:00:00,-0.56,1.24,-0.06,0.18,-0.56,-0.42,-0.43,0.0,-0.08
2018-10-18 05:30:00,-0.66,1.28,0.08,0.37,-0.65,-0.4,-0.49,0.0,0.05
2018-10-18 06:00:00,-0.73,1.28,0.21,0.5,-0.73,-0.4,-0.55,0.0,0.19
2018-10-18 06:30:00,-0.8,1.27,0.34,0.67,-0.81,-0.44,-0.63,0.0,0.32
2018-10-18 07:00:00,-0.87,1.21,0.47,0.76,-0.87,-0.49,-0.71,0.0,0.49
2018-10-18 07:30:00,-0.93,1.1,0.58,0.87,-0.92,-0.57,-0.79,0.0,0.6
2018-10-18 08:00:00,-0.98,0.91,0.66,0.91,-0.95,-0.66,-0.86,0.0,0.73
2018-10-18 08:30:00,-1.02,0.68,0.73,0.94,-0.96,-0.75,-0.95,0.0,0.79
2018-10-18 09:00:00,-1.05,0.46,0.74,0.94,-0.96,-0.84,-1.03,0.0,0.86
2018-10-18 09:30:00,-1.06,0.26,0.75,0.9,-0.95,-0.94,-1.11,0.0,0.87
2018-10-18 10:00:00,-1.07,0.11,0.68,0.81,-0.92,-1.03,-1.19,0.0,0.87
2018-10-18 10:30:00,-1.06,0.0,0.58,0.67,-0.89,-1.12,-1.27,0.0,0.79
2018-10-18 11:00:00,-1.03,-0.09,0.44,0.53,-0.85,-1.21,-1.33,0.0,0.7
2018-10-18 11:30:00,-1.0,-0.18,0.3,0.36,-0.81,-1.3,-1.39,0.0,0.55
2018-10-18 12:00:00,-0.97,-0.27,0.14,0.21,-0.76,-1.38,-1.44,0.0,0.41
