	iflood	etss	estofs	Time_adcirc	observed	Time_observed	ahps	Time_ahps	Time_etss
0	2.6433595428006003	4.7780000000000005	2.8	2018-12-17 07:00:00	1.121	2018-12-15 00:00:00	4.72	2018-12-17 18:00:00	2018-12-17 13:00:00
1	2.9007954682497004	4.69	2.48	2018-12-17 08:00:00	1.009	2018-12-15 01:00:00	5.15	2018-12-17 19:00:00	2018-12-17 14:00:00
2	2.7893267585009	4.6080000000000005	1.99	2018-12-17 09:00:00	1.245	2018-12-15 02:00:00	5.48	2018-12-17 20:00:00	2018-12-17 15:00:00
3	2.3103109522398	4.578	1.63	2018-12-17 10:00:00	1.961	2018-12-15 03:00:00	5.51	2018-12-17 21:00:00	2018-12-17 16:00:00
4	1.8625593894471002	5.011	1.44	2018-12-17 11:00:00	2.676	2018-12-15 04:00:00	5.28	2018-12-17 22:00:00	2018-12-17 17:00:00
5	1.49454568319029	5.602	1.27	2018-12-17 12:00:00	3.151	2018-12-15 05:00:00	4.89	2018-12-17 23:00:00	2018-12-17 18:00:00
6	1.18287507112577	5.957999999999999	1.12	2018-12-17 13:00:00	3.312	2018-12-15 06:00:00	4.59	2018-12-18 00:00:00	2018-12-17 19:00:00
7	0.9325595565543999	5.9670000000000005	1.06	2018-12-17 14:00:00	3.224	2018-12-15 07:00:00	4.33	2018-12-18 01:00:00	2018-12-17 20:00:00
8	0.7438787647354	5.705	1.34	2018-12-17 15:00:00	2.873	2018-12-15 08:00:00	4.13	2018-12-18 02:00:00	2018-12-17 21:00:00
9	0.8215589185309	5.187	2.05	2018-12-17 16:00:00	2.426	2018-12-15 09:00:00	3.94	2018-12-18 03:00:00	2018-12-17 22:00:00
10	1.3138707087093402	4.478	2.56	2018-12-17 17:00:00	1.993	2018-12-15 10:00:00	3.77	2018-12-18 04:00:00	2018-12-17 23:00:00
11	1.8193729444529998	3.722	2.76	2018-12-17 18:00:00	1.629	2018-12-15 11:00:00	3.71	2018-12-18 05:00:00	2018-12-18 00:00:00
12	2.2867853291798	3.043	2.86	2018-12-17 19:00:00	1.334	2018-12-15 12:00:00	3.74	2018-12-18 06:00:00	2018-12-18 01:00:00
13	2.6116996464951	2.521	2.9	2018-12-17 20:00:00	1.14	2018-12-15 13:00:00	3.87	2018-12-18 07:00:00	2018-12-18 02:00:00
14	2.6636032593203005	2.16	2.67	2018-12-17 21:00:00	1.252	2018-12-15 14:00:00	4.0	2018-12-18 08:00:00	2018-12-18 03:00:00
15	2.2254627593566	1.983	2.12	2018-12-17 22:00:00	1.885	2018-12-15 15:00:00	4.07	2018-12-18 09:00:00	2018-12-18 04:00:00
16	1.7786608380485	2.353	1.59	2018-12-17 23:00:00	2.725	2018-12-15 16:00:00	4.0	2018-12-18 10:00:00	2018-12-18 05:00:00
17	1.3941137215738055	3.0410000000000004	1.31	2018-12-18 00:00:00	3.329	2018-12-15 17:00:00	3.77	2018-12-18 11:00:00	2018-12-18 06:00:00
18	1.0607116863855	3.6910000000000003	1.14	2018-12-18 01:00:00	3.591	2018-12-15 18:00:00	3.44	2018-12-18 12:00:00	2018-12-18 07:00:00
19	0.7891590747004	4.044	1.03	2018-12-18 02:00:00	3.614	2018-12-15 19:00:00	3.15	2018-12-18 13:00:00	2018-12-18 08:00:00
20	0.5605556749763	4.118	1.06	2018-12-18 03:00:00	3.407	2018-12-15 20:00:00	2.85	2018-12-18 14:00:00	2018-12-18 09:00:00
21	0.41074388453079996	3.932	1.44	2018-12-18 04:00:00	3.05	2018-12-15 21:00:00	2.66	2018-12-18 15:00:00	2018-12-18 10:00:00
22	0.6124140165635	3.489	1.97	2018-12-18 05:00:00	2.702	2018-12-15 22:00:00	2.46	2018-12-18 16:00:00	2018-12-18 11:00:00
23	1.07110695857785	2.912	2.24	2018-12-18 06:00:00	2.417	2018-12-15 23:00:00	2.36	2018-12-18 17:00:00	2018-12-18 12:00:00
24	1.5092559830717	2.358	2.22	2018-12-18 07:00:00	2.213	2018-12-16 00:00:00	2.36	2018-12-18 18:00:00	2018-12-18 13:00:00
25	1.8322288293355002	1.952	1.92	2018-12-18 08:00:00	2.052	2018-12-16 01:00:00	2.56	2018-12-18 19:00:00	2018-12-18 14:00:00
26	1.8753218232470998	1.757	1.43	2018-12-18 09:00:00	2.0	2018-12-16 02:00:00	2.95	2018-12-18 20:00:00	2018-12-18 15:00:00
27	1.5393297142136502	1.671	1.05	2018-12-18 10:00:00	2.184	2018-12-16 03:00:00	3.28	2018-12-18 21:00:00	2018-12-18 16:00:00
28	1.16017485044974	2.001	0.83	2018-12-18 11:00:00	2.876	2018-12-16 04:00:00	3.28	2018-12-18 22:00:00	2018-12-18 17:00:00
29	0.8013320561801001	2.7239999999999998	0.63	2018-12-18 12:00:00	3.598	2018-12-16 05:00:00	2.99	2018-12-18 23:00:00	2018-12-18 18:00:00
30	0.47141742760430005	3.5589999999999997	0.4	2018-12-18 13:00:00		2018-12-16 06:00:00	2.59	2018-12-19 00:00:00	2018-12-18 19:00:00
31	0.17049727458540012	4.115	0.19	2018-12-18 14:00:00	4.033	2018-12-16 07:00:00	2.23	2018-12-19 01:00:00	2018-12-18 20:00:00
32	-0.09400027563790021	4.211	0.07	2018-12-18 15:00:00	3.878	2018-12-16 08:00:00	1.9	2018-12-19 02:00:00	2018-12-18 21:00:00
33	-0.3244585657449999	4.114	0.09	2018-12-18 16:00:00		2018-12-16 09:00:00	1.64	2018-12-19 03:00:00	2018-12-18 22:00:00
34	-0.39484624196580015	3.7460000000000004	0.39	2018-12-18 17:00:00	3.323	2018-12-16 10:00:00	1.41	2018-12-19 04:00:00	2018-12-18 23:00:00
35	-0.016707728355100156	3.2060000000000004	0.88	2018-12-18 18:00:00	3.027	2018-12-16 11:00:00	1.31	2018-12-19 05:00:00	2018-12-19 00:00:00
36	0.47938938715499996	2.647	1.13	2018-12-18 19:00:00	2.754	2018-12-16 12:00:00	1.35	2018-12-19 06:00:00	2018-12-19 01:00:00
37	0.9057786122409001	2.178	1.08	2018-12-18 20:00:00	2.533	2018-12-16 13:00:00	1.57	2018-12-19 07:00:00	2018-12-19 02:00:00
38	1.1812260231036602	1.8559999999999999	0.9	2018-12-18 21:00:00	2.34	2018-12-16 14:00:00	2.2	2018-12-19 08:00:00	2018-12-19 03:00:00
39	1.21923532481589	1.5759999999999998	0.63	2018-12-18 22:00:00	2.26	2018-12-16 15:00:00	2.79	2018-12-19 09:00:00	2018-12-19 04:00:00
40	0.8581535946839002	1.6019999999999999	0.29	2018-12-18 23:00:00		2018-12-16 16:00:00	2.95	2018-12-19 10:00:00	2018-12-19 05:00:00
41	0.5118757565331998	2.017	0.04	2018-12-19 00:00:00	3.187	2018-12-16 17:00:00	2.79	2018-12-19 11:00:00	2018-12-19 06:00:00
42	0.16002674199479985	2.75	-0.16	2018-12-19 01:00:00	3.798	2018-12-16 18:00:00	2.43	2018-12-19 12:00:00	2018-12-19 07:00:00
43	-0.13997348096309997	3.4139999999999997	-0.34	2018-12-19 02:00:00	4.113	2018-12-16 19:00:00	2.0	2018-12-19 13:00:00	2018-12-19 08:00:00
44	-0.44683843949429997	3.77	-0.44	2018-12-19 03:00:00	4.149	2018-12-16 20:00:00	1.61	2018-12-19 14:00:00	2018-12-19 09:00:00
45	-0.6805174681306	3.832	-0.35	2018-12-19 04:00:00	4.018	2018-12-16 21:00:00	1.28	2018-12-19 15:00:00	2018-12-19 10:00:00
46	-0.7797582127455001	3.701	0.15	2018-12-19 05:00:00	3.762	2018-12-16 22:00:00	1.02	2018-12-19 16:00:00	2018-12-19 11:00:00
47	-0.4308776868943	3.2119999999999997	0.69	2018-12-19 06:00:00	3.493	2018-12-16 23:00:00	0.89	2018-12-19 17:00:00	2018-12-19 12:00:00
48	0.049126533084599786	2.615	0.94	2018-12-19 07:00:00	3.279	2018-12-17 00:00:00	0.98	2018-12-19 18:00:00	2018-12-19 13:00:00
49	0.4905117258303999	2.0669999999999997	1.0	2018-12-19 08:00:00	3.115	2018-12-17 01:00:00	1.57	2018-12-19 19:00:00	2018-12-19 14:00:00
50	0.8177568917937	1.679	1.02	2018-12-19 09:00:00	3.053	2018-12-17 02:00:00	2.59	2018-12-19 20:00:00	2018-12-19 15:00:00
51	1.0112987948391	1.4969999999999999	0.85	2018-12-19 10:00:00	3.083	2018-12-17 03:00:00	3.15	2018-12-19 21:00:00	2018-12-19 16:00:00
52	0.8573134811818001	1.537	0.38	2018-12-19 11:00:00	3.273	2018-12-17 04:00:00	3.28	2018-12-19 22:00:00	2018-12-19 17:00:00
53	0.45836420303959996	1.9380000000000002	-0.06	2018-12-19 12:00:00	3.69	2018-12-17 05:00:00	3.12	2018-12-19 23:00:00	2018-12-19 18:00:00
54	0.04221788132629985	2.748	-0.29	2018-12-19 13:00:00	4.208	2018-12-17 06:00:00	2.76	2018-12-20 00:00:00	2018-12-19 19:00:00
55	-0.2994617682048999	3.62	-0.43	2018-12-19 14:00:00			2.33	2018-12-20 01:00:00	2018-12-19 20:00:00
56	-0.5843877857612002	4.168	-0.49	2018-12-19 15:00:00			1.87	2018-12-20 02:00:00	2018-12-19 21:00:00
57	-0.7951329397016001	4.333	-0.19	2018-12-19 16:00:00			1.48	2018-12-20 03:00:00	2018-12-19 22:00:00
58	-0.7402731701558003	4.177	0.56	2018-12-19 17:00:00			1.18	2018-12-20 04:00:00	2018-12-19 23:00:00
59	-0.2225407994217	3.741	1.03	2018-12-19 18:00:00			0.95	2018-12-20 05:00:00	2018-12-20 00:00:00
60	0.2997368600407999	3.162	1.24	2018-12-19 19:00:00			0.89	2018-12-20 06:00:00	2018-12-20 01:00:00
61	0.7458882184350001	2.592	1.4	2018-12-19 20:00:00			1.15	2018-12-20 07:00:00	2018-12-20 02:00:00
62	1.1018870824249902	2.12	1.57	2018-12-19 21:00:00			2.0	2018-12-20 08:00:00	2018-12-20 03:00:00
63	1.1704809947364303	1.88	1.65	2018-12-19 22:00:00			2.79	2018-12-20 09:00:00	2018-12-20 04:00:00
64	1.45580093755209	1.67	1.46	2018-12-19 23:00:00					2018-12-20 05:00:00
65	1.3597955136904352	1.7080000000000002	0.9	2018-12-20 00:00:00					2018-12-20 06:00:00
66	0.9663196721435001	2.19	0.37	2018-12-20 01:00:00					2018-12-20 07:00:00
67	0.5777780695219998	2.985	0.12	2018-12-20 02:00:00					2018-12-20 08:00:00
68	0.21027204522389992	3.67	0.02	2018-12-20 03:00:00					2018-12-20 09:00:00
69	-0.09621183795319994	4.025	0.01	2018-12-20 04:00:00					2018-12-20 10:00:00
70	-0.36920717095829997	4.058	0.35	2018-12-20 05:00:00					2018-12-20 11:00:00
71	-0.29301595727360014	3.7680000000000002	1.02	2018-12-20 06:00:00					2018-12-20 12:00:00
72	0.2465792335948999	3.23	1.43	2018-12-20 07:00:00					2018-12-20 13:00:00
73	0.763625593163	2.6189999999999998	1.62	2018-12-20 08:00:00					2018-12-20 14:00:00
74	1.1586567790289501	2.079	1.76	2018-12-20 09:00:00					2018-12-20 15:00:00
75	1.31955201222295	1.7069999999999999	1.83	2018-12-20 10:00:00					2018-12-20 16:00:00
76	1.5941264132276898	1.5330000000000001	1.64	2018-12-20 11:00:00					2018-12-20 17:00:00
77	1.51165554658857	1.6030000000000002	1.1	2018-12-20 12:00:00					2018-12-20 18:00:00
78	1.1382852080419101	2.09	0.59	2018-12-20 13:00:00					2018-12-20 19:00:00
79	0.7403718764160001	2.99	0.34	2018-12-20 14:00:00					2018-12-20 20:00:00
80	0.3686728663421999	3.8930000000000002	0.22	2018-12-20 15:00:00					2018-12-20 21:00:00
81	0.0615225277434	4.4239999999999995	0.23	2018-12-20 16:00:00					2018-12-20 22:00:00
82	-0.20656250659569994	4.544	0.7	2018-12-20 17:00:00					2018-12-20 23:00:00
83	-0.01170074518110016	4.314	1.43	2018-12-20 18:00:00					2018-12-21 00:00:00
